"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.540833179E-3,1.989178911E-2,9.113558024E-2,-3.866032809E-1,3.976977169E-1
1.447383314E-2,-4.668099035E-2,6.608121134E-2,-1.104492259E-1,1.369119164E-1
2.440683311E-2,-1.030503602E-1,6.004880341E-2,1.252093524E-1,1.729237331E-1
3.433983307E-2,-1.475917813E-1,8.872068018E-2,2.791764808E-1,3.280155490E-1
4.427283350E-2,-1.781481243E-1,1.142932037E-1,3.274972862E-1,3.899412303E-1
5.420583347E-2,-1.781904435E-1,1.105133991E-1,2.642000073E-1,3.372931802E-1
6.413883343E-2,-1.353268627E-1,8.113753583E-2,1.068333077E-1,1.905518699E-1
7.407183340E-2,-8.724090521E-2,8.695975464E-2,-1.137429625E-1,1.676616712E-1
8.400483336E-2,-5.628166163E-2,1.065246113E-1,-2.952557391E-1,3.188903726E-1
9.393883310E-2,-2.699709716E-2,1.221179477E-1,-3.927960670E-1,4.122261353E-1
1.038718331E-1,-1.059630593E-2,1.116313136E-1,-3.566579354E-1,3.738699169E-1
1.138048335E-1,-2.203631027E-2,9.036109826E-2,-2.065938234E-1,2.265650788E-1
1.237378335E-1,-7.237292502E-2,8.188592462E-2,-4.665317953E-2,1.188261928E-1
1.336708334E-1,-1.024471651E-1,7.806166286E-2,9.695794523E-2,1.612137959E-1
1.436038334E-1,-1.131765591E-1,1.050433106E-1,1.892042041E-1,2.442156045E-1
1.535368334E-1,-1.290986553E-1,1.042331697E-1,2.248628640E-1,2.794536170E-1
1.634698333E-1,-1.231926203E-1,6.720999805E-2,1.910735589E-1,2.370711084E-1
1.734028333E-1,-9.755725742E-2,4.909060051E-2,1.073104405E-1,1.531105358E-1
1.833358333E-1,-7.094196517E-2,4.963793644E-2,-2.671300471E-2,9.061055003E-2
1.932688332E-1,-5.755851994E-2,4.831311269E-2,-1.081424993E-1,1.316888007E-1
2.032018332E-1,-4.204680699E-2,4.459824411E-2,-1.532888514E-1,1.650890951E-1
2.131348331E-1,-4.574806709E-2,4.444170775E-2,-1.421002042E-1,1.557575651E-1
2.230678331E-1,-3.803837621E-2,3.358458631E-2,-7.279140294E-2,8.873235511E-2
2.330008331E-1,-4.790977358E-2,2.555915263E-2,-1.509166360E-3,5.432213426E-2
2.429338335E-1,-5.959684105E-2,1.530063646E-2,1.030121523E-1,1.199891514E-1
2.528668335E-1,-8.220131795E-2,-5.501839353E-3,1.774401909E-1,1.956331983E-1
2.627998334E-1,-9.032670018E-2,-2.097888700E-2,2.109885907E-1,2.304673770E-1
2.727328334E-1,-9.005840435E-2,-1.784262096E-2,1.978206611E-1,2.180868847E-1
2.826658334E-1,-9.110141971E-2,-8.286290299E-3,1.639880866E-1,1.877770588E-1
2.925988333E-1,-7.880884565E-2,-1.028265763E-2,1.041079205E-1,1.309771977E-1
3.025318333E-1,-6.215726369E-2,-1.900530097E-2,3.330632508E-2,7.303449996E-2
3.124648333E-1,-5.306209333E-2,-3.538914897E-2,-1.039108694E-2,6.462160863E-2
3.223978332E-1,-4.213074194E-2,-2.161551631E-2,-2.129906774E-2,5.192186676E-2
3.323308332E-1,-4.608323132E-2,-2.330797460E-2,-1.318897963E-2,5.329985997E-2
3.422638332E-1,-4.632003441E-2,-3.890495184E-2,3.802912116E-2,7.145176640E-2
3.521968331E-1,-5.247822144E-2,-3.862555543E-2,8.070853293E-2,1.037292849E-1
3.621298331E-1,-6.581128011E-2,-3.797733904E-2,1.340012258E-1,1.540445760E-1
3.720628335E-1,-6.888429344E-2,-4.277612837E-2,1.597365761E-1,1.791385407E-1
3.819968333E-1,-8.091747953E-2,-3.366497867E-2,1.496822888E-1,1.734524628E-1
3.919298332E-1,-7.034434319E-2,-3.518538265E-2,1.183698642E-1,1.421188324E-1
4.018628332E-1,-6.540508135E-2,-4.431989380E-2,8.871161699E-2,1.187932180E-1
4.117958331E-1,-6.275301274E-2,-3.162921572E-2,3.467106521E-2,7.836090006E-2
4.217288331E-1,-5.535178989E-2,-1.974118219E-2,-3.780809641E-3,5.888827931E-2
4.316618331E-1,-5.104886044E-2,-1.170998124E-2,-1.436310053E-2,5.430845670E-2
4.415948335E-1,-4.102237481E-2,-1.273722740E-2,-2.027989805E-2,4.750101537E-2
4.515278335E-1,-4.039109479E-2,-2.085959466E-2,-1.210782945E-2,4.704426385E-2
4.614608334E-1,-3.933262085E-2,-1.145249362E-2,1.748785257E-2,4.454256010E-2
4.713938334E-1,-5.121011568E-2,-5.630548904E-3,4.709347486E-2,6.979953011E-2
4.813268334E-1,-6.044017400E-2,-2.467049919E-3,6.068825126E-2,8.568643305E-2
4.912598333E-1,-5.457442084E-2,2.185058808E-3,4.853890657E-2,7.306960616E-2
5.011928333E-1,-6.166655439E-2,9.980804259E-3,3.070314467E-2,6.960649019E-2
5.111258333E-1,-5.658803746E-2,2.511580121E-2,1.227096677E-2,6.311565637E-2
5.210588332E-1,-5.380802446E-2,2.147600083E-2,-1.289661884E-2,5.935355832E-2
5.309918332E-1,-5.112385098E-2,2.227738914E-2,-3.956109166E-2,6.837404609E-2
5.409248332E-1,-4.427154464E-2,2.798387876E-2,-6.218864679E-2,8.130495019E-2
5.508578331E-1,-4.349878027E-2,3.101480126E-2,-4.949317217E-2,7.282606590E-2
5.607908331E-1,-3.894982922E-2,4.098993190E-2,-4.414296985E-2,7.173468826E-2
5.707238335E-1,-4.233000409E-2,4.922684977E-2,-3.626852453E-2,7.436745159E-2
5.806568335E-1,-5.356958597E-2,5.113242080E-2,-1.943322122E-2,7.656288321E-2
5.905898334E-1,-5.048635829E-2,3.949567594E-2,-4.869561195E-3,6.428447260E-2
6.005228334E-1,-5.278544694E-2,4.472617479E-2,-4.256772995E-3,6.931705589E-2
6.104558334E-1,-5.535210053E-2,5.207632586E-2,-5.465977192E-3,7.619498445E-2
6.203898331E-1,-5.106111218E-2,5.842145020E-2,-8.493665457E-3,7.805411824E-2
6.303228331E-1,-5.091632964E-2,5.850575974E-2,-1.768022597E-2,7.954864510E-2
6.402558335E-1,-5.922637425E-2,4.927901790E-2,-2.867883861E-2,8.221107466E-2
6.501885415E-1,-4.498337919E-2,4.153812664E-2,-4.013879657E-2,7.321231698E-2
6.601215415E-1,-4.168412430E-2,4.408848111E-2,-3.588670135E-2,7.049266429E-2
6.700545414E-1,-4.151893132E-2,4.383927095E-2,-1.772524953E-2,6.292763945E-2
6.799875414E-1,-3.773887086E-2,4.327407360E-2,-1.977937639E-2,6.072965956E-2
6.899205418E-1,-4.107355622E-2,4.621578039E-2,-7.317205667E-3,6.226135941E-2
6.998535418E-1,-4.481425761E-2,5.029918344E-2,4.846172333E-3,6.754117948E-2
7.097865418E-1,-4.629773277E-2,3.238338777E-2,1.791002154E-2,5.926999860E-2
