"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.209208440E-3,-6.056250871E-2,1.721706802E-1,-5.754806256E-1,6.037288390E-1
1.214220840E-2,1.424215453E-2,2.067660422E-1,-6.637308973E-1,6.953371407E-1
2.207420859E-2,6.064870946E-2,1.742046889E-1,-6.179963154E-1,6.449379702E-1
3.200720856E-2,5.223083854E-2,1.199187551E-1,-4.410057753E-1,4.599941980E-1
4.193920875E-2,5.237235943E-2,7.511037212E-2,-1.175337124E-1,1.489919648E-1
5.187220871E-2,5.004394334E-4,5.014283437E-2,1.968406677E-1,2.031275529E-1
6.180420844E-2,-7.260921649E-2,6.516794935E-2,3.755912197E-1,3.880563416E-1
7.173720840E-2,-1.095757250E-1,9.994609170E-2,4.214111710E-1,4.467476198E-1
8.166920859E-2,-1.228502932E-1,1.414737482E-1,3.067969733E-1,3.594876894E-1
9.160220856E-2,-1.052139853E-1,1.508592967E-1,5.155197680E-2,1.910133933E-1
1.015342087E-1,-4.818324055E-2,1.437311937E-1,-2.076071459E-1,2.570622643E-1
1.114672087E-1,1.404545967E-2,1.285084063E-1,-3.998519021E-1,4.202299716E-1
1.213992084E-1,4.070823315E-2,1.201149475E-1,-4.512009805E-1,4.686865538E-1
1.313322084E-1,4.315853627E-2,1.213166965E-1,-3.865272671E-1,4.074110066E-1
1.412642086E-1,2.189218554E-2,1.272190952E-1,-2.055237830E-1,2.427014449E-1
1.511972086E-1,-2.062568776E-2,1.172211239E-1,1.604592919E-2,1.200986375E-1
1.611292087E-1,-5.546706227E-2,1.080481764E-1,2.112505460E-1,2.436755971E-1
1.710622087E-1,-7.285518327E-2,9.275741514E-2,3.127172792E-1,3.342213525E-1
1.809952087E-1,-8.185922842E-2,7.636381416E-2,2.858791441E-1,3.070166940E-1
1.909272084E-1,-6.267221153E-2,6.769964755E-2,1.729694098E-1,1.960343468E-1
2.008602084E-1,-3.328812562E-2,5.797064815E-2,1.548284233E-2,6.861788222E-2
2.107922086E-1,-1.435826744E-2,6.580641962E-2,-1.196428031E-1,1.372991079E-1
2.207252085E-1,-1.663843486E-3,6.908283382E-2,-1.921278119E-1,2.041771349E-1
2.306572087E-1,3.628343493E-3,6.694899296E-2,-1.808590579E-1,1.928868356E-1
2.405902087E-1,3.590007685E-3,5.053949486E-2,-8.720362008E-2,1.008543507E-1
2.505222084E-1,-1.094425181E-2,3.408328299E-2,2.264158845E-2,4.235668017E-2
2.604552084E-1,-2.620781441E-2,1.950992938E-2,1.456599891E-1,1.492793332E-1
2.703872086E-1,-2.974531593E-2,-1.626977705E-2,2.382781309E-1,2.406781193E-1
2.803202085E-1,-4.038264373E-2,-2.927340451E-2,2.488487273E-1,2.537979102E-1
2.902522087E-1,-5.356943979E-2,-2.386857184E-2,2.153968066E-1,2.232379401E-1
3.001852087E-1,-4.554994698E-2,-2.297534112E-2,1.458728278E-1,1.545365518E-1
3.101172084E-1,-3.794660233E-2,-1.734780719E-2,4.927448630E-2,6.456675649E-2
3.200502084E-1,-1.610688642E-2,-1.257002444E-2,-1.915197015E-2,2.800420085E-2
3.299822086E-1,-1.187776892E-2,-2.198056072E-2,-5.970358014E-2,6.472050622E-2
3.399152085E-1,-5.192967039E-4,-3.390804011E-2,-3.645563543E-2,4.978994083E-2
3.498472087E-1,4.813711150E-3,-4.450658443E-2,-3.614748716E-3,4.491185012E-2
3.597802087E-1,-5.955197280E-3,-5.579198930E-2,6.755756021E-2,8.781932809E-2
3.697122084E-1,-2.408732166E-2,-5.446230962E-2,1.336427915E-1,1.463104164E-1
3.796452084E-1,-2.835754325E-2,-3.859524127E-2,1.679864126E-1,1.746802157E-1
3.895772086E-1,-3.363359557E-2,-3.285693001E-2,1.759824800E-1,1.821555102E-1
3.995102085E-1,-3.381427453E-2,-2.953310768E-2,1.431135267E-1,1.499903035E-1
4.094422087E-1,-3.183161161E-2,-3.500843128E-2,8.661246657E-2,9.869428111E-2
4.193752087E-1,-1.826608043E-2,-3.441894058E-2,1.800708532E-2,4.292514749E-2
4.293082086E-1,-1.002506951E-2,-3.521576989E-2,-2.377185524E-2,4.365493751E-2
4.392402084E-1,-3.953942042E-3,-1.500415636E-2,-2.869404137E-2,3.262064340E-2
4.491732083E-1,-4.590091696E-3,-1.092615285E-2,-1.831874192E-2,2.181802153E-2
4.591052085E-1,-4.331005225E-3,-2.162245531E-3,2.407883406E-3,5.406552921E-3
4.690382085E-1,-1.818794701E-2,-5.902343933E-3,4.185436964E-2,4.601551193E-2
4.789702087E-1,-2.790265728E-2,-7.204866037E-4,6.663253069E-2,7.224244964E-2
4.889032086E-1,-2.630595627E-2,7.476725020E-3,7.179796100E-2,7.683001989E-2
4.988352084E-1,-2.908118187E-2,9.688818064E-3,5.764243662E-2,6.528582414E-2
5.087682083E-1,-1.792925340E-2,1.574682584E-2,1.773460507E-2,2.973107581E-2
5.187002085E-1,-1.662508677E-2,2.673427396E-2,-1.902625501E-2,3.678468831E-2
5.286332085E-1,-6.939484673E-3,3.479477037E-2,-5.489015222E-2,6.535871252E-2
5.385652087E-1,-6.795094991E-3,4.331292104E-2,-5.408265173E-2,6.962122998E-2
5.484982086E-1,-1.023577027E-2,5.216315702E-2,-6.766690314E-2,8.604984441E-2
5.584302084E-1,-7.283922220E-3,5.126902638E-2,-4.803955436E-2,7.063545407E-2
5.683632083E-1,-7.601106260E-3,5.104489530E-2,-3.562357664E-2,6.270883004E-2
5.782952085E-1,-1.252690122E-2,5.571446344E-2,-2.040093541E-2,6.064010931E-2
5.882282085E-1,-1.795579428E-3,5.070153583E-2,-4.774251580E-3,5.095746578E-2
5.981602087E-1,-1.310082371E-2,6.288574453E-2,1.235516667E-3,6.424776221E-2
6.080932086E-1,-1.607167521E-2,6.109967597E-2,-1.539513409E-2,6.502675835E-2
6.180252084E-1,-1.664351463E-2,6.186717784E-2,-1.903561056E-2,6.683493654E-2
6.279582083E-1,-1.860024881E-2,6.581059489E-2,-4.350796223E-2,8.105520608E-2
6.378912088E-1,-9.702220978E-3,6.633408515E-2,-4.735250652E-2,8.207681657E-2
6.478232085E-1,-1.056002579E-2,6.452126557E-2,-4.014405906E-2,7.672061870E-2
6.577562084E-1,-5.810314240E-3,6.498054609E-2,-4.792553365E-2,8.095114513E-2
6.676882086E-1,-6.332105147E-3,7.336364435E-2,-2.728603184E-2,7.852927735E-2
6.776212086E-1,-1.276172175E-2,5.688926043E-2,-1.084892392E-2,5.930386703E-2
6.875532083E-1,-8.551635118E-3,5.326663624E-2,5.424461961E-3,5.422075053E-2
6.974862088E-1,-2.016249692E-2,5.263164690E-2,1.635466218E-3,5.638520450E-2
7.074177084E-1,-1.736451287E-2,4.280320829E-2,1.445782542E-2,4.840113287E-2
7.173507083E-1,-1.374420016E-2,4.956039688E-2,1.051738679E-2,5.249525123E-2
7.272827085E-1,-6.269211033E-3,3.315601509E-2,9.427465796E-3,3.503571685E-2
7.372157085E-1,-9.715066580E-3,3.005847087E-2,5.503399372E-3,3.206527085E-2
7.471477087E-1,-5.348292841E-3,3.164845672E-2,1.940632403E-2,3.750779200E-2
7.570807086E-1,-9.141472997E-3,1.715865433E-2,1.760830522E-2,2.623048531E-2
7.670127084E-1,-5.853044596E-3,2.367400574E-2,2.645397305E-2,3.597956877E-2
7.769457083E-1,-6.589400908E-3,1.910869162E-2,4.519546866E-2,4.950952118E-2
7.868777085E-1,-9.434701726E-3,1.126672575E-2,4.659119904E-2,4.885378730E-2
