"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.830916386E-3,-2.071268337E-2,1.038496837E-1,-2.132438618E-1,2.380897240E-1
1.176391635E-2,-3.066919427E-3,1.013728580E-1,-2.113370848E-1,2.344125119E-1
2.169691678E-2,-1.643871590E-2,9.328931076E-2,-1.895076746E-1,2.118638374E-1
3.162891651E-2,-1.720753340E-2,9.737854276E-2,-1.206789297E-1,1.560194984E-1
4.156191647E-2,-3.015023561E-2,1.020790372E-1,-4.814012647E-2,1.168188269E-1
5.149491644E-2,-4.817550212E-2,1.027122632E-1,1.454202533E-3,1.134583744E-1
6.142791640E-2,-5.048297787E-2,8.440235610E-2,4.395352006E-2,1.077227956E-1
7.136091636E-2,-4.946576335E-2,8.874440708E-2,4.735835373E-2,1.120948045E-1
8.129391680E-2,-4.961742550E-2,9.827604468E-2,1.239024997E-2,1.107862273E-1
9.122691676E-2,-2.961391803E-2,1.033075372E-1,-3.054117680E-2,1.117237435E-1
1.011589165E-1,-2.738238299E-2,9.260069149E-2,-9.712926865E-2,1.369626876E-1
1.110919164E-1,-2.338537255E-2,9.501384652E-2,-1.385538679E-1,1.696221713E-1
1.210249164E-1,-1.639530033E-2,9.575968629E-2,-1.324996608E-1,1.643011975E-1
1.309579164E-1,-1.634413719E-2,9.175865589E-2,-1.270038629E-1,1.575333709E-1
1.408909163E-1,-1.326831903E-2,7.692805219E-2,-8.465774238E-2,1.151560109E-1
1.508239168E-1,-1.572301671E-2,6.951387411E-2,-2.627329409E-2,7.595839605E-2
1.607559165E-1,-2.869183039E-2,5.380673625E-2,3.601767898E-2,7.082131879E-2
1.706889165E-1,-4.634559771E-2,3.777733914E-2,7.375970185E-2,9.495017323E-2
1.806219164E-1,-4.037400082E-2,4.848758812E-2,9.114815176E-2,1.108561758E-1
1.905549164E-1,-4.462160099E-2,5.232788861E-2,8.819413841E-2,1.118369405E-1
2.004879164E-1,-4.818982780E-2,5.081142237E-2,5.277872264E-2,8.769067060E-2
2.104209168E-1,-3.129956067E-2,2.359315884E-2,9.314614534E-4,3.920672471E-2
2.203529165E-1,-1.812295156E-2,2.172688292E-2,-2.198085308E-2,3.582815536E-2
2.302859165E-1,-2.233802659E-2,2.215902871E-2,-3.661000192E-2,4.827320402E-2
2.402189164E-1,-1.245519061E-2,1.624233169E-2,-1.452272952E-2,2.509690786E-2
2.501519164E-1,-1.576705355E-2,-2.245595763E-3,2.376717746E-2,2.860981305E-2
2.600849164E-1,-2.252373051E-2,-1.263656393E-3,7.058992624E-2,7.410703712E-2
2.700179163E-1,-3.132640304E-2,-6.941138338E-3,1.004844010E-1,1.054828790E-1
2.799499165E-1,-3.798378697E-2,-1.793419613E-2,1.204742771E-1,1.275870484E-1
