"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.228429191E-2,-4.497211873E-2,-2.483127021E-2,8.813800514E-2,1.020166231E-1
2.221729187E-2,-6.153971549E-2,-2.310730547E-2,9.979326010E-2,1.194980289E-1
3.215029184E-2,-4.073035207E-2,-1.237534870E-2,1.690827656E-1,1.743590905E-1
4.208429158E-2,-2.807117358E-2,-2.394158666E-2,1.620362860E-1,1.661834779E-1
5.201729154E-2,-5.895766729E-2,-2.918095227E-2,1.320944488E-1,1.475685533E-1
6.194979185E-2,-5.498389953E-2,-2.918298052E-2,1.389836383E-1,1.522869898E-1
7.188379159E-2,-3.068546141E-2,-1.584690916E-2,1.246246308E-1,1.293213852E-1
8.181679156E-2,-3.546157451E-2,-1.215377121E-2,8.497524619E-2,9.287642266E-2
9.174979152E-2,-3.421689644E-2,-1.846258342E-4,4.173917949E-2,5.397211496E-2
1.016837917E-1,-2.167772063E-2,6.369810551E-4,1.931452274E-2,2.904100731E-2
1.116167917E-1,-1.114482729E-2,1.267854511E-2,-5.053163767E-3,1.762064543E-2
1.215497917E-1,-2.693305645E-2,3.196663204E-2,-3.795252264E-2,5.645926911E-2
1.314837919E-1,-2.124030779E-2,4.457622112E-2,-4.810328901E-2,6.893559732E-2
1.414167918E-1,-1.540670061E-2,4.819035770E-2,-5.631161034E-2,7.570121834E-2
1.513497918E-1,-1.327042038E-2,3.741181050E-2,-5.898261845E-2,7.109639162E-2
1.612837915E-1,-8.098868765E-3,2.124653873E-2,-4.534106433E-2,5.072296519E-2
1.712167915E-1,-3.081998848E-3,6.288059168E-3,-4.622165501E-2,4.674911547E-2
1.811507917E-1,9.774424955E-3,2.940706364E-3,-4.141816735E-2,4.265737596E-2
1.910837917E-1,-2.923918460E-3,-8.199468283E-3,-1.970160842E-2,2.153912611E-2
2.010167916E-1,1.686099451E-5,-1.588140316E-2,-3.829926252E-4,1.588602953E-2
2.109507918E-1,6.025829818E-3,-1.629124730E-2,-4.869561195E-3,1.803962277E-2
2.208837918E-1,8.983141361E-3,-2.440572539E-2,-1.025660098E-2,2.795593182E-2
2.308167918E-1,9.906229419E-3,-1.060524121E-2,-1.085886419E-2,1.812510562E-2
2.407507915E-1,8.026070930E-3,-2.550016427E-3,-1.356144726E-2,1.596349743E-2
2.506837919E-1,1.560603585E-3,-8.229544898E-4,-3.483010948E-2,3.487476543E-2
2.606167919E-1,3.371728384E-3,8.096511606E-3,-3.364838719E-2,3.477263311E-2
2.705507916E-1,2.217835193E-3,1.516809767E-2,-4.130297720E-2,4.405594064E-2
2.804837916E-1,-1.586619127E-3,2.178862587E-2,-4.521944225E-2,5.022011086E-2
2.904167916E-1,-9.738510260E-3,2.960471780E-2,-4.360151768E-2,5.359449824E-2
3.003507918E-1,-1.299017429E-2,3.354329720E-2,-2.851336241E-2,4.590108115E-2
3.102837917E-1,-1.163110779E-2,3.136437797E-2,-1.492150962E-2,3.662865440E-2
3.202167917E-1,-9.577026609E-3,1.953825183E-2,1.184295058E-2,2.477333651E-2
3.301507919E-1,-1.378369856E-2,1.066951947E-2,3.531893671E-2,3.938599093E-2
3.400837919E-1,-1.957185962E-2,-7.517724051E-3,4.472769141E-2,4.939777569E-2
3.500167918E-1,-2.861509482E-2,-4.050558144E-3,6.506956995E-2,7.119887363E-2
3.599507916E-1,-2.143223807E-2,-1.200236944E-2,8.032729447E-2,8.399923772E-2
3.698837915E-1,-2.249241593E-2,-1.873535146E-2,8.720771313E-2,9.198971354E-2
3.798167915E-1,-2.675023274E-2,-8.450551378E-3,8.496238232E-2,8.947398046E-2
3.897507917E-1,-2.351022888E-2,-1.716069172E-2,9.544410110E-2,9.978374936E-2
3.996837917E-1,-3.472742004E-2,-1.622316378E-2,9.604811847E-2,1.034138569E-1
4.096177919E-1,-3.585258650E-2,-8.625794258E-3,7.584715784E-2,8.433625340E-2
