"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.749808345E-2,-1.503125090E-1,1.485812581E-1,-1.324575609E-1,2.494298419E-1
6.743008317E-2,-1.524596066E-1,9.391856253E-2,-2.183975977E-1,2.824219161E-1
7.736308314E-2,-1.228776655E-1,8.183236778E-2,-2.796501052E-1,3.162271944E-1
8.729508333E-2,-8.869270490E-2,5.136720479E-2,-2.379840159E-1,2.591165326E-1
9.722708305E-2,-5.302891038E-2,3.283211589E-3,-1.517849475E-1,1.608151582E-1
1.071590832E-1,-1.411766365E-2,-4.092524707E-2,-3.088382363E-2,5.317889466E-2
1.170910834E-1,5.857064556E-3,-6.044500709E-2,4.490486205E-2,7.552715222E-2
1.270230832E-1,-5.900206044E-5,-4.260866046E-2,1.352285564E-2,4.470312128E-2
1.369565832E-1,-4.846519511E-3,-1.494665265E-2,-2.313333929E-2,2.796502393E-2
1.468885834E-1,-4.338884348E-2,2.107921243E-3,-2.294330478E-2,4.912667610E-2
1.568205832E-1,-6.736975495E-2,1.292527020E-2,-1.529807031E-2,7.028355033E-2
1.667525833E-1,-7.786442896E-2,1.644938707E-2,-1.413330495E-2,8.082822491E-2
1.766845831E-1,-8.198194686E-2,3.136738837E-2,-6.556482911E-3,8.802238427E-2
1.866165833E-1,-7.862319656E-2,1.846433759E-2,-4.840909839E-3,8.090718885E-2
1.965495832E-1,-5.748423290E-2,-1.708264053E-2,2.819995165E-2,6.626832510E-2
2.064815834E-1,-3.951204814E-2,-4.200756669E-2,4.943236113E-2,7.595653977E-2
2.164135831E-1,-5.674218468E-2,-4.876051605E-2,5.744304657E-2,9.432373533E-2
2.263455833E-1,-8.645696718E-2,-3.613930106E-2,3.113583863E-2,9.874359069E-2
2.362775831E-1,-9.831623515E-2,-1.693178236E-2,1.248614430E-2,1.005418875E-1
2.462095832E-1,-8.352111675E-2,-2.460215986E-2,9.498801827E-3,8.758578908E-2
2.561425832E-1,-6.984309062E-2,-1.709959745E-2,4.583515406E-2,8.527200530E-2
2.660745834E-1,-1.011609604E-1,3.862261355E-2,4.578311384E-2,1.175641939E-1
2.760065831E-1,-9.875735275E-2,1.937708795E-2,4.271858811E-2,1.093314412E-1
2.859385833E-1,-9.192307228E-2,-6.200972199E-3,4.298639059E-2,1.016667746E-1
2.958705830E-1,-1.170080660E-1,1.017123163E-2,3.931492388E-2,1.238547726E-1
3.058035830E-1,-7.458152801E-2,1.101323068E-2,5.970416486E-2,9.616799297E-2
3.157355832E-1,-4.830892827E-2,-9.694098830E-3,3.173693240E-2,5.860854017E-2
3.256675834E-1,-3.490667146E-2,-4.578369856E-4,2.471910417E-2,4.277521990E-2
3.355995831E-1,-2.956584295E-2,1.310127139E-2,-2.041847706E-3,3.240295548E-2
3.455315833E-1,-4.789065136E-2,5.404756844E-2,-3.269996881E-2,7.927131954E-2
3.554635830E-1,-7.547251577E-2,6.631561160E-2,-7.226339936E-2,1.237572619E-1
3.653965835E-1,-8.172339030E-2,6.915969729E-2,-7.923211098E-2,1.331897281E-1
3.753285832E-1,-7.107085973E-2,7.364217281E-2,-1.194393200E-1,1.572895034E-1
3.852605834E-1,-6.261850851E-2,7.699555099E-2,-1.064514846E-1,1.455380055E-1
3.951925831E-1,-7.947997810E-2,1.231417769E-1,-1.286545318E-1,1.950203905E-1
4.051245833E-1,-4.691297863E-2,1.284908098E-1,-1.496080291E-1,2.027147704E-1
4.150565830E-1,-7.205701092E-2,1.257186449E-1,-1.864256072E-1,2.361183972E-1
4.249895834E-1,-1.078601154E-1,1.457687473E-1,-1.805351222E-1,2.558813446E-1
4.349215832E-1,-1.356126636E-1,1.273049945E-1,-1.823881048E-1,2.605048501E-1
4.448535834E-1,-1.817619594E-1,8.032086253E-2,-2.026750195E-1,2.838415304E-1
4.547855831E-1,-2.101649556E-1,6.914917231E-2,-1.814437795E-1,2.861341673E-1
4.647175833E-1,-2.550046943E-1,7.555070400E-2,-1.890334654E-1,3.262958075E-1
4.746495835E-1,-2.859019665E-1,9.772626936E-2,-1.469890612E-1,3.360002117E-1
4.845825834E-1,-2.937191639E-1,2.977577627E-2,-8.952321053E-2,3.084995127E-1
4.945145831E-1,-2.481214251E-1,-8.102311313E-2,-9.599958658E-3,2.611917794E-1
5.044465833E-1,-1.882928424E-1,-2.293967950E-1,-1.772817314E-2,2.973068654E-1
5.143785831E-1,-2.001212481E-1,-2.045964146E-1,1.015018165E-2,2.863760342E-1
5.243105832E-1,-2.579617591E-1,-1.326832634E-1,4.721626639E-2,2.939021833E-1
5.342425834E-1,-2.996837807E-1,-7.042912781E-2,1.093429327E-1,3.266902315E-1
5.441755834E-1,-2.969870631E-1,-5.590288997E-2,1.911484033E-1,3.575809850E-1
5.541075831E-1,-2.701507552E-1,-6.142967820E-2,2.060892087E-1,3.452937849E-1
5.640395833E-1,-2.430678776E-1,-8.462324381E-2,2.046262354E-1,3.288084286E-1
5.739715830E-1,-2.197763711E-1,-7.308142483E-2,1.840504682E-1,2.958329306E-1
5.839035832E-1,-2.130112522E-1,-6.325693309E-2,1.543366724E-1,2.705458217E-1
5.938355834E-1,-1.725916431E-1,-7.178977489E-2,1.656656528E-1,2.497734084E-1
6.037685834E-1,-1.432901035E-1,-1.013772708E-1,1.890048140E-1,2.579384123E-1
6.137005831E-1,-1.220404173E-1,-1.015608734E-1,1.477129465E-1,2.168584539E-1
6.236325833E-1,-1.481467368E-1,-4.891312838E-2,1.092458689E-1,1.904589448E-1
6.335645830E-1,-1.726850707E-1,-4.813427925E-3,9.966286719E-2,1.994391883E-1
6.434965832E-1,-1.543777857E-1,-8.437532187E-4,9.129900992E-2,1.793564101E-1
6.534285834E-1,-1.228422716E-1,-3.190825582E-2,6.664305568E-2,1.433515167E-1
6.633615834E-1,-7.941152913E-2,-4.601875663E-2,1.069163382E-2,9.240253219E-2
6.732935831E-1,-6.265409430E-2,-4.367811620E-2,-9.885887504E-3,7.701327248E-2
6.832255833E-1,-8.154377114E-2,-2.548684359E-2,2.227789164E-2,8.829082774E-2
6.931575830E-1,-1.133741676E-1,6.608523130E-3,5.627594233E-2,1.267452411E-1
7.030895832E-1,-1.173004998E-1,9.918047190E-3,5.377684236E-2,1.294207236E-1
7.130215834E-1,-8.456540206E-2,-3.085517228E-2,-6.141915321E-3,9.022788928E-2
7.229545834E-1,-4.490831556E-2,-3.809344053E-2,-5.680453062E-2,8.182066803E-2
7.328865831E-1,-3.810550041E-2,-2.447644472E-3,-5.979655087E-2,7.094820379E-2
7.428185833E-1,-5.770441711E-2,3.072419465E-2,-4.026041865E-2,7.677680119E-2
7.527505835E-1,-5.338204566E-2,5.022231996E-2,-3.683219612E-2,8.202764712E-2
7.626825832E-1,-4.015557077E-2,2.531785905E-2,-3.135452449E-2,5.689086093E-2
7.726145834E-1,8.778982172E-3,-1.215577662E-2,-2.534767985E-3,1.520718521E-2
7.825475833E-1,2.147802908E-2,1.759076357E-2,8.169729710E-3,2.893933620E-2
7.924795831E-1,5.481125135E-4,5.330029428E-2,5.333888590E-2,7.540728444E-2
8.024115833E-1,6.141641233E-3,9.948803544E-2,9.327302992E-2,1.365117104E-1
8.123435834E-1,-1.761869316E-2,1.116993606E-1,9.624516964E-2,1.484934281E-1
8.222755832E-1,-1.560188798E-2,8.171600819E-2,1.553394699E-1,1.762137220E-1
8.322075834E-1,1.420132452E-2,4.627194107E-2,1.833581579E-1,1.896390893E-1
8.421405833E-1,1.803539864E-2,4.660815597E-2,1.142043078E-1,1.246604176E-1
8.520725830E-1,-2.517509563E-3,4.206837773E-2,2.805026293E-2,5.062512726E-2
8.620045832E-1,-3.059636903E-2,8.180839419E-2,1.195346296E-2,8.815688535E-2
