Time (seconds),x acceleration,y acceleration,z acceleration,total acceleration
9.79,-128,1032,532,1168
9.85,40,932,140,943
9.85,-24,960,232,987
9.86,-24,960,232,987
9.87,-24,960,232,987
9.88,-108,912,152,930
9.89,-108,912,152,930
9.89,-176,1056,248,1098
9.90,-176,1056,248,1098
9.95,12,968,168,982
9.95,16,848,176,866
9.96,16,848,176,866
9.97,16,848,176,866
9.98,-36,1060,176,1075
9.99,-36,1060,176,1075
10.00,-180,980,28,996
10.01,-180,980,28,996
10.01,-208,840,44,866
10.02,-208,840,44,866
10.03,-208,840,44,866
10.07,-8,960,372,1029
10.08,-8,960,372,1029
10.09,-8,960,372,1029
10.10,-76,1072,172,1088
10.11,-76,1072,172,1088
10.11,-76,620,200,660
10.12,-108,620,200,660
10.13,-108,620,200,660
10.14,-148,1076,340,1138
10.15,-148,1076,340,1138
10.15,-148,1076,340,1138
10.20,-112,788,148,809
10.21,-112,788,148,809
10.21,-112,788,148,809
10.22,-120,708,208,747
10.23,-120,708,208,747
10.24,-36,900,108,907
10.25,-36,900,108,907
10.25,-36,900,108,907
10.26,4,1148,260,1177
10.27,4,1148,260,1177
10.28,20,476,152,500
10.29,20,476,152,500
10.33,12,988,208,1009
10.34,-116,980,-20,987
10.35,-116,980,-20,987
10.36,-36,336,8,338
10.37,-36,336,8,338
10.37,-36,336,8,338
10.38,-248,1628,436,1703
10.39,-248,1628,436,1703
10.40,-148,1192,-288,1235
10.41,-148,1192,-288,1235
10.41,-148,1192,-288,1235
10.46,160,336,-256,451
10.47,160,336,-256,451
10.47,160,336,-256,451
10.48,-436,1304,-1148,1791
10.49,-436,1304,-1148,1791
10.50,152,428,52,457
10.51,152,428,52,457
10.51,152,428,52,457
10.52,-196,1152,100,1172
10.53,-196,1152,100,1172
10.54,20,1456,492,1537
10.58,100,840,-80,849
10.59,100,840,-80,849
10.60,52,292,16,297
10.61,52,292,16,297
10.61,52,292,16,297
10.62,64,916,28,918
10.63,64,916,28,918
10.64,64,916,28,918
10.65,144,1388,260,1419
10.65,144,1388,260,1419
10.66,212,276,-588,683
10.67,212,276,-588,683
10.72,-164,1828,648,1946
10.73,-124,1932,-844,2111
10.73,-124,1932,-844,2111
10.74,-112,252,-340,437
10.75,-112,252,-340,437
10.76,-112,252,-340,437
10.77,52,1104,-60,1106
10.77,52,1104,-60,1106
10.78,-200,1460,-12,1473
10.79,-200,1460,-12,1473
10.83,-40,788,4,789
10.84,-96,1088,172,1105
10.85,-96,1088,172,1105
10.86,-96,1088,172,1105
10.87,-328,1748,-672,1901
10.87,-328,1748,-672,1901
10.88,96,1024,-260,1060
10.89,96,1024,-260,1060
10.90,96,1024,-260,1060
10.91,-232,1232,36,1254
10.91,-232,1232,36,1254
10.96,-1036,1932,-1376,2588
10.97,232,72,2040,2054
10.97,232,72,2040,2054
10.98,1668,-1044,1560,2511
10.99,1668,-1044,1560,2511
11.00,1668,-1044,1560,2511
11.01,1328,1712,1324,2539
11.01,1328,1712,1324,2539
11.02,8,-16,-484,484
11.03,8,-16,-484,484
11.08,160,1036,100,1053
11.09,176,1492,800,1702
11.09,176,1492,800,1702
11.10,-48,804,228,837
11.11,-48,804,228,837
11.12,-48,804,228,837
11.13,-88,976,60,981
11.13,-88,976,60,981
11.14,-4,1048,220,1070
11.15,-4,1048,220,1070
11.16,-4,1048,220,1070
11.20,52,968,132,978
11.21,80,972,176,991
11.22,80,972,176,991
11.23,52,940,192,960
