Time (seconds),x acceleration,y acceleration,z acceleration,total acceleration
20.31,-68,968,204,991
20.37,-20,964,136,973
20.37,-72,972,116,981
20.38,-72,972,116,981
20.39,-72,972,116,981
20.40,-40,984,124,992
20.41,-40,984,124,992
20.41,-56,964,120,973
20.42,-56,964,120,973
20.47,-76,956,0,959
20.47,-128,896,12,905
20.48,-128,896,12,905
20.49,-128,896,12,905
20.50,0,1004,104,1009
20.51,0,1004,104,1009
20.52,32,932,216,957
20.53,32,932,216,957
20.53,-64,528,248,586
20.54,-64,528,248,586
20.55,-64,528,248,586
20.59,-100,912,68,919
20.60,-100,912,68,919
20.61,-100,912,68,919
20.62,-176,1152,100,1169
20.63,-176,1152,100,1169
20.63,-96,1076,80,1083
20.64,-96,1076,80,1083
20.65,-96,1076,80,1083
20.66,-36,1020,88,1024
20.67,-36,1020,88,1024
20.67,-48,996,92,1001
20.70,-40,988,112,995
20.72,-72,940,104,948
20.73,-72,940,104,948
20.73,-72,940,104,948
20.74,-64,1212,36,1214
20.75,-64,1212,36,1214
20.76,-28,972,80,975
20.77,-28,972,80,975
20.77,-28,972,80,975
20.78,-88,876,108,887
20.79,-88,876,108,887
20.80,-124,936,120,951
20.84,-96,812,260,857
20.85,-96,812,260,857
20.86,12,952,96,956
20.87,12,952,96,956
20.88,28,868,324,926
20.89,28,868,324,926
20.89,28,868,324,926
20.90,-164,1212,88,1226
20.91,-164,1212,88,1226
20.92,20,388,-56,392
20.93,20,388,-56,392
20.93,20,388,-56,392
20.98,264,1188,868,1494
20.99,264,1188,868,1494
20.99,264,1188,868,1494
21.00,-40,1068,452,1160
21.01,-40,1068,452,1160
21.02,104,808,240,849
21.03,104,808,240,849
21.03,104,808,240,849
21.04,312,888,128,949
21.05,312,888,128,949
21.06,-244,524,276,640
21.10,52,424,128,445
21.11,52,424,128,445
21.12,8,220,772,802
21.13,8,220,772,802
21.13,8,220,772,802
21.14,-96,796,260,842
21.15,-96,796,260,842
21.16,-212,644,228,715
21.17,-212,644,228,715
21.17,-212,644,228,715
