Time (seconds),x,y,z
11.76,60,420,-1068
11.77,24,388,-1048
11.79,-20,268,-920
11.80,8,252,-1024
11.82,8,252,-1024
11.84,-28,364,-1052
11.85,12,368,-904
11.87,80,372,-844
11.88,24,300,-924
11.90,24,300,-924
11.92,-76,136,-1036
11.93,-24,180,-988
11.95,164,208,-932
11.98,-328,332,-1600
12.00,-84,520,-740
12.02,212,672,-1692
12.03,424,260,-1156
12.05,44,212,-644
12.06,44,212,-644
12.08,-124,348,-540
12.10,4,228,-516
12.11,20,264,-612
12.13,-72,840,-760
12.14,-72,840,-760
12.16,-552,1776,-1668
12.18,-176,796,-960
12.22,112,672,-1104
12.23,-56,844,-1052
12.25,-56,844,-1052
12.26,-44,824,-948
12.28,332,496,-240
12.30,616,1092,932
12.31,-8,372,344
12.33,-8,372,344
12.34,84,16,28
12.36,80,-184,-464
12.38,232,16,-360
12.39,264,468,-944
12.41,264,468,-944
12.42,364,264,-968
12.46,316,720,-596
12.48,304,704,-592
12.50,260,636,-524
12.51,232,632,-1616
12.53,232,632,-1616
12.54,168,432,-408
12.56,276,736,-508
12.58,348,1272,-1572
12.59,348,1272,-1572
12.61,276,836,-1008
12.62,4,804,-944
12.64,40,852,-952
12.66,60,840,-868
12.70,-172,924,-1420
12.71,-172,924,-1420
12.73,-224,576,200
12.74,-76,376,-1020
12.76,-200,384,-672
12.78,-200,384,-672
12.79,-168,444,-544
12.81,-136,568,-820
12.82,-92,436,-620
12.84,-36,400,-1028
12.86,-36,400,-1028
12.87,32,508,-940
12.89,160,804,-1288
12.93,160,416,-760
12.94,400,700,-1020
12.96,468,892,-864
12.98,468,892,-864
12.99,512,956,-836
13.01,492,952,-696
13.02,312,676,-436
13.04,312,676,-436
13.06,332,580,-488
13.07,436,848,-888
13.09,408,644,-764
13.10,228,756,-688
13.12,228,756,-688
13.14,248,504,-584
13.17,252,632,-840
13.19,316,1184,840
13.20,176,752,-1064
13.22,176,752,-1064
13.24,208,552,-760
13.25,204,440,-608
13.27,136,388,-580
13.28,136,388,-580
13.30,208,560,-452
13.32,308,744,-928
13.33,244,904,-672
13.35,468,1496,-1888
13.36,468,1496,-1888
13.40,256,628,-644
13.42,276,604,-704
13.43,220,452,-828
13.45,196,440,-792
13.46,196,440,-792
13.48,-20,156,124
13.50,132,-52,-896
13.51,128,864,-820
13.53,128,864,-820
13.54,16,776,-1032
13.56,-16,816,-1700
13.58,124,744,-1140
13.59,8,876,-1292
13.63,24,508,-904
13.65,24,508,-904
13.66,40,248,-640
13.68,64,200,-552
13.70,84,208,-456
13.71,212,472,-444
13.73,212,472,-444
13.74,452,360,-1076
13.76,696,784,-1780
13.78,504,736,-800
13.79,504,736,-800
13.81,592,572,-676
13.82,512,472,-1088
13.84,364,372,-492
13.88,144,236,-1676
13.90,20,844,-840
13.91,20,844,-840
13.93,268,328,-1164
13.94,212,204,-688
13.96,-12,752,-1044
13.98,-20,492,-924
13.99,-20,492,-924
14.01,248,528,-824
14.02,172,512,-720
14.04,340,324,-676
14.06,340,324,-676
14.07,156,500,-728
14.11,304,436,-1180
14.12,348,332,-768
14.14,120,348,-532
14.16,120,348,-532
14.17,468,48,-40
14.19,276,452,-1108
14.20,396,312,-360
14.22,516,448,-1112
14.24,516,448,-1112
14.25,492,360,-876
14.27,436,396,-724
14.28,656,528,-840
14.30,88,512,-848
14.32,88,512,-848
14.35,168,732,-880
14.37,56,764,-560
14.38,276,636,-736
14.40,276,636,-736
14.42,288,552,-1076
14.43,-1256,2040,-512
14.45,176,516,-324
14.46,108,296,460
14.48,108,296,460
14.50,232,-156,1932
14.51,260,100,744
14.53,664,204,48
14.54,204,200,324
14.58,464,-280,212
14.60,164,28,-96
14.62,96,584,-1600
14.63,172,260,-1016
14.65,560,264,-1636
14.66,560,264,-1636
14.68,24,592,-1128
14.70,172,412,-964
14.71,8,356,-940
14.73,60,452,-780
14.74,60,452,-780
14.76,-136,904,-712
14.78,244,464,-804
14.79,144,644,-928
14.83,128,548,-840
14.84,-96,464,-748
14.86,20,540,-708
14.88,-164,844,-600
14.89,112,412,-752
14.91,112,412,-752
14.92,-12,408,-972
14.94,124,260,-656
14.96,112,400,-892
14.97,64,376,-944
14.99,64,376,-944
15.00,92,460,-880
15.02,16,456,-760
15.04,72,396,-892
15.07,8,456,-940
15.09,8,456,-940
15.10,96,260,-1296
15.12,88,332,-1084
15.14,96,504,-852
15.15,96,504,-852
15.17,60,568,-1012
15.18,32,236,-1132
15.20,84,308,-996
15.22,4,548,-944
15.23,4,548,-944
15.25,124,552,-1092
15.26,48,276,-1076
15.28,88,408,-956
15.32,80,572,-1072
15.33,44,384,-1036
15.35,76,216,-948
15.36,16,340,-800
15.38,76,544,-1036
15.40,76,544,-1036
15.41,72,600,-600
15.43,132,252,-952
15.44,28,500,-880
15.46,16,476,-948
15.48,16,476,-948
15.49,40,232,-1084
15.51,60,324,-872
15.52,116,528,-844
15.67,68,368,-844
15.68,48,512,-912
15.70,48,512,-912
15.72,100,272,-1108
15.73,72,344,-1024
15.75,72,544,-740
15.76,16,144,-1496
15.78,16,144,-1496
15.80,60,228,-984
15.81,156,384,-924
15.83,120,596,-976
15.84,64,492,-1040
15.86,64,492,-1040
15.90,96,384,-980
15.91,84,516,-896
15.93,44,288,-860
15.94,44,288,-860
15.96,92,244,-984
15.98,76,424,-940
15.99,48,524,-928
16.01,28,268,-1048
16.02,28,268,-1048
16.04,96,340,-1024
